ChiefComplaintCode,chiefcomplaintgrouping
267036007,Airway / breathing
230145002,Airway / breathing
70407001,Airway / breathing
66857006,Airway / breathing
262599003,Airway / breathing
13094009,Airway / breathing
87317003,Airway / breathing
29857009,Circulation / chest
80313002,Circulation / chest
427461000,Circulation / chest
271594007,Circulation / chest
762898005,Circulation / chest
162784002,Circulation / chest
2.1631E+13,Circulation / chest
410429000,Circulation / chest
422970001,Circulation / chest
21522001,Gastrointestinal
14760008,Gastrointestinal
62315008,Gastrointestinal
422587007,Gastrointestinal
422400008,Gastrointestinal
60728008,Gastrointestinal
65958008,Gastrointestinal
18165001,Gastrointestinal
79890006,Gastrointestinal
8765009,Gastrointestinal
77880009,Gastrointestinal
249624003,Gastrointestinal
276464002,Gastrointestinal
47609003,Gastrointestinal
40739000,Gastrointestinal
33334006,Gastrointestinal
70176004,Gastrointestinal
25064002,Neurological
40917007,Neurological
3006004,Neurological
713514005,Neurological
95666008,Neurological
23168003,Neurological
91175000,Neurological
404640003,Neurological
44077006,Neurological
26079004,Neurological
394616008,Neurological
193462001,Neurological
399963005,Skin
312608009,Skin
312609001,Skin
299972003,Skin
283682007,Skin
125666000,Skin
271807003,Skin
297982009,Skin
418363000,Skin
161887000,Skin
93459000,Skin
95668009,Head and neck
81680005,Head and neck
162356005,Head and neck
2999009,Head and neck
300132001,Head and neck
15188001,Head and neck
60862001,Head and neck
75441006,Head and neck
249366005,Head and neck
19491003,Head and neck
68235000,Head and neck
74699008,Head and neck
267102003,Head and neck
49727002,Head and neck
421581006,Head and neck
14380007,Head and neck
75705005,Eye
55899000,Eye
41652007,Eye
246679005,Eye
63102001,Eye
409668002,Eye
282752000,Eye
170720001,Eye
82271004,Trauma / musculoskeletal
125593007,Trauma / musculoskeletal
90460009,Trauma / musculoskeletal
127278005,Trauma / musculoskeletal
127279002,Trauma / musculoskeletal
262525000,Trauma / musculoskeletal
128069005,Trauma / musculoskeletal
450724008,Trauma / musculoskeletal
282765009,Trauma / musculoskeletal
282766005,Trauma / musculoskeletal
161891005,Trauma / musculoskeletal
102556003,Trauma / musculoskeletal
10601006,Trauma / musculoskeletal
271771009,Trauma / musculoskeletal
417746004,Trauma / musculoskeletal
262595009,Trauma / musculoskeletal
49650001,Genitourinary
28442001,Genitourinary
267064002,Genitourinary
83128009,Genitourinary
34436003,Genitourinary
247355005,Genitourinary
20502007,Genitourinary
281398003,Genitourinary
225565007,Genitourinary
6923002,Genitourinary
300528000,Genitourinary
56890008,Genitourinary
428566005,ObGyn
429715006,ObGyn
289530006,ObGyn
34124000,ObGyn
289610003,ObGyn
290085007,ObGyn
75478009,Environmental
371708003,Environmental
386689009,Environmental
370977006,Environmental
87970004,Environmental
417981005,Environmental
371704001,Environmental
57335002,Environmental
66214007,Psychosocial / Behaviour change
248062006,Psychosocial / Behaviour change
272022009,Psychosocial / Behaviour change
48694002,Psychosocial / Behaviour change
248020004,Psychosocial / Behaviour change
248004009,Psychosocial / Behaviour change
7011001,Psychosocial / Behaviour change
386661006,General / minor / admin
80394007,General / minor / admin
302866003,General / minor / admin
225358003,General / minor / admin
385486001,General / minor / admin
162214009,General / minor / admin
13791008,General / minor / admin
398979000,General / minor / admin
3415004,General / minor / admin
161152002,General / minor / admin
78680009,General / minor / admin
182888003,General / minor / admin
84387000,General / minor / admin
248573009,Not applicable to child terms
386705008,Not applicable to child terms
271787007,Not applicable to child terms
419045004,Not applicable to child terms
309585006,Not applicable to child terms
449614009,Not applicable to child terms
449615005,Not applicable to child terms
405729008,Not applicable to child terms
161539004,Not applicable to child terms
271782001,Not applicable to child terms
29164008,Not applicable to child terms
91019004,Not applicable to child terms
161898004,Not applicable to child terms
249990003,Not applicable to child terms
430576002,Not applicable to child terms
276438008,Not applicable to child terms
247441003,Not applicable to child terms
93458008,Not applicable to child terms
27355003,Not applicable to child terms
16001004,Not applicable to child terms
25479004,Not applicable to child terms
282760004,Not applicable to child terms
125594001,Not applicable to child terms
125595000,Not applicable to child terms
125596004,Not applicable to child terms
125597008,Not applicable to child terms
125598003,Not applicable to child terms
125599006,Not applicable to child terms
52011008,Not applicable to child terms
262520005,Not applicable to child terms
125600009,Not applicable to child terms
7523003,Not applicable to child terms
125601008,Not applicable to child terms
125602001,Not applicable to child terms
125603006,Not applicable to child terms
125604000,Not applicable to child terms
282780003,Not applicable to child terms
282776008,Not applicable to child terms
282770002,Not applicable to child terms
432754003,Not applicable to child terms
65978000,Not applicable to child terms
45326000,Not applicable to child terms
1.08807E+15,See notes
74323005,Not applicable to child terms
444899003,Not applicable to child terms
56608008,Not applicable to child terms
53057004,Not applicable to child terms
18876004,Not applicable to child terms
300955002,Not applicable to child terms
49218002,Not applicable to child terms
78514002,Not applicable to child terms
30989003,Not applicable to child terms
300954003,Not applicable to child terms
247373008,Not applicable to child terms
47933007,Not applicable to child terms
2733002,Not applicable to child terms
285365001,Not applicable to child terms
162116003,Not applicable to child terms
718403007,Not applicable to child terms
63901009,Not applicable to child terms
274743004,Not applicable to child terms
279020002,Not applicable to child terms
162143008,Not applicable to child terms
282772005,Not applicable to child terms
301822002,Not applicable to child terms
418723004,Not applicable to child terms
444107005,Not applicable to child terms
283596007,See notes
426936004,Not applicable to child terms
18653004,Not applicable to child terms
191480000,Not applicable to child terms
363101005,Not applicable to child terms
6471006,Not applicable to child terms
267073005,Not applicable to child terms
427797008,Not applicable to child terms
24199005,Not applicable to child terms
2073000,Not applicable to child terms
410379003,Not applicable to child terms
226007004,Not applicable to child terms
473023007,Not applicable to child terms
162743000,Not applicable to child terms
288945004,Not applicable to child terms
12441001,See notes
25658005,See notes
275319005,See notes
33958003,See notes
35489007,See notes
41931001,See notes
79604008,See notes
95320005,See notes
1.08507E+16,Not applicable to child terms
771083005,Not applicable to child terms
